name,handedness,height,weight,avg,HR,BMI
Tom Brown,R,73,170,0,0,22.96866204
Denny Lemaster,R,73,182,0.13,4,24.58997936
Joe Nolan,L,71,175,0.263,27,24.99504067
Denny Doyle,L,69,175,0.25,16,26.46502836
Jose Cardenal,R,70,150,0.275,138,22.04081633
Mike Ryan,R,74,205,0.193,28,26.95398101
Fritz Peterson,B,72,185,0.159,2,25.69444444
Dick Bertell,R,72,200,0.25,10,27.77777778
Rod Kanehl,R,73,180,0.241,6,24.3197598
Ozzie Osborn,R,74,195,0,0,25.63915267
John LaRose,L,73,185,0,0,24.99530869
Jeff Byrd,R,75,195,0,0,24.96
Juan Bonilla,R,69,170,0.256,7,25.70888469
Frank Tepedino,L,71,185,0.241,6,26.4233287
Jerry Kutzler,L,73,175,0,0,23.64421092
Rick Wise,R,73,180,0.195,15,24.3197598
Darrell Evans,L,74,200,0.248,414,26.29656684
Buck Martinez,R,70,190,0.225,58,27.91836735
John Wockenfuss,R,72,190,0.262,86,26.38888889
Tommy McCraw,L,72,183,0.246,75,25.41666667
Jeff Barkley,B,75,185,0,0,23.68
Eric Wilkins,R,73,190,0,0,25.67085757
Britt Burns,L,77,215,0,0,26.10895598
Lee Lacy,R,73,175,0.286,91,23.64421092
Pete Rose,B,71,192,0.303,160,27.42313033
Danny Walton,R,72,195,0.223,28,27.08333333
Bobby Cox,R,71,180,0.225,9,25.70918469
Brad Wellman,R,72,170,0.231,6,23.61111111
Jeff Newman,R,74,215,0.224,63,28.26880935
Pedro Gonzalez,R,72,176,0.244,8,24.44444444
Nardi Contreras,B,74,193,0,0,25.376187
Tommie Reynolds,R,74,190,0.226,12,24.9817385
Gene Clines,R,69,170,0.277,5,25.70888469
Jim Hickman,R,75,192,0.252,159,24.576
Jack Billingham,R,76,195,0.111,0,24.30747922
Jerry Buchek,R,71,185,0.22,22,26.4233287
Ivan DeJesus,R,71,175,0.254,21,24.99504067
Gary Nolan,R,74,197,0.138,1,25.90211833
Gil Patterson,R,73,185,0,0,24.99530869
Fred Whitfield,L,73,190,0.253,108,25.67085757
Larry Dierker,R,76,215,0.136,4,26.80055402
Dave Skaggs,R,74,200,0.241,3,26.29656684
Dick Ruthven,R,75,190,0.183,1,24.32
Jerry Garvin,L,75,195,0,0,24.96
Steve Eddy,R,74,185,0,0,24.32432432
Dave Kingman,R,78,210,0.236,442,24.85207101
Eric Soderholm,R,71,187,0.264,102,26.70898631
Kevin Mmahat,L,77,220,0,0,26.716141
Ed Brinkman,R,72,170,0.224,60,23.61111111
Wayne Garrett,L,71,175,0.239,61,24.99504067
Tony Muser,L,74,180,0.259,7,23.66691015
Jim Siwy,R,76,200,0,0,24.93074792
Bud Anderson,R,75,210,0,0,26.88
Ted Ford,R,70,180,0.219,17,26.44897959
Kevin Stanfield,L,72,190,0,0,26.38888889
Jim Lyttle,L,72,180,0.248,9,25
John Butcher,R,76,185,0,0,23.06094183
Jerry Ujdur,R,73,195,0,0,26.34640646
Scot Thompson,L,75,195,0.262,5,24.96
Gene Locklear,L,70,165,0.274,9,24.24489796
Bo Diaz,R,71,185,0.255,87,26.4233287
Bump Wills,B,69,172,0.266,36,26.01134216
Brian Denman,R,76,205,0,0,25.55401662
Pat Putnam,L,72,205,0.255,63,28.47222222
Kurt Bevacqua,R,72,180,0.236,27,25
Bob Fallon,L,75,200,0,0,25.6
Syd O'Brien,R,73,185,0.23,24,24.99530869
Chris Chambliss,L,73,195,0.279,185,26.34640646
Tom Satriano,L,73,185,0.225,21,24.99530869
Jeffrey Leonard,R,74,200,0.266,144,26.29656684
Dal Maxvill,R,71,157,0.217,6,22.4241222
Steve Curry,R,78,217,0,0,25.68047337
Cesar Tovar,R,69,155,0.278,46,23.44045369
Mickey Lolich,B,73,170,0.11,0,22.96866204
Ray Chadwick,B,74,180,0,0,23.66691015
Jack Heidemann,R,72,175,0.211,9,24.30555556
Rich Rollins,R,70,185,0.269,77,27.18367347
Walt Bond,L,79,228,0.256,41,26.30347701
Merv Rettenmund,R,70,190,0.271,66,27.91836735
Bryan Clutterbuck,R,76,223,0,0,27.79778393
Byron Browne,R,74,190,0.236,30,24.9817385
Hector Torres,R,72,175,0.216,18,24.30555556
Walt Williams,R,66,165,0.27,33,27.27272727
Jerry Koosman,R,74,205,0.119,2,26.95398101
Steve Lombardozzi,R,72,175,0.233,20,24.30555556
Joe Azcue,R,72,190,0.252,50,26.38888889
Elliott Maddox,R,71,180,0.261,18,25.70918469
Omar Moreno,L,74,180,0.252,37,23.66691015
Julian Javier,R,73,175,0.257,78,23.64421092
Tony Ferreira,L,73,160,0,0,21.61756427
Elio Chacon,R,69,160,0.232,4,24.19659735
Rusty Torres,B,70,175,0.212,35,25.71428571
John Stearns,R,72,185,0.26,46,25.69444444
Larry Brown,R,70,160,0.233,47,23.51020408
Tommy Dean,R,72,165,0.18,4,22.91666667
Bryan Oelkers,L,75,192,0,0,24.576
Kevin Bearse,L,74,195,0,0,25.63915267
Marty Martinez,B,72,170,0.243,0,23.61111111
Bruce Boisclair,L,74,185,0.263,10,24.32432432
Ken Singleton,B,76,210,0.282,246,26.17728532
Frank White,R,71,165,0.255,160,23.56675263
Jim Fairey,L,70,190,0.235,7,27.91836735
Jose Roman,R,72,175,0,0,24.30555556
Tom Brookens,R,70,165,0.246,71,24.24489796
Gary Thomasson,L,73,180,0.249,61,24.3197598
Mike Trujillo,R,73,180,0,0,24.3197598
Albert Williams,R,76,190,0,0,23.68421053
Oswaldo Peraza,R,76,172,0,0,21.44044321
Otto Velez,R,72,170,0.251,78,23.61111111
Tony Scott,B,72,164,0.249,17,22.77777778
Ray Oyler,R,71,165,0.175,15,23.56675263
Barry Cort,R,77,210,0,0,25.50177096
Floyd Robinson,L,69,175,0.283,67,26.46502836
Steve Jeltz,B,71,180,0.21,5,25.70918469
Lou Brock,L,71,170,0.293,149,24.28089665
Bill Wilkinson,R,70,160,0,0,23.51020408
Joe Lovitto,B,72,185,0.216,4,25.69444444
Mike Loynd,R,76,210,0,0,26.17728532
Wayne Comer,R,70,175,0.229,16,25.71428571
Dave Collins,B,71,175,0.272,32,24.99504067
Ed Spiezio,R,71,180,0.238,39,25.70918469
Rico Petrocelli,R,72,175,0.251,210,24.30555556
Johnny Lewis,L,73,189,0.227,22,25.5357478
Dick Simpson,R,76,176,0.207,15,21.93905817
Ken Boswell,L,72,170,0.248,31,23.61111111
Ken McMullen,R,75,190,0.248,156,24.32
Randy Scarbery,B,73,185,0,0,24.99530869
Steve Swisher,R,74,205,0.216,20,26.95398101
Ben Callahan,R,79,230,0,0,26.53420926
Dick Howser,R,68,155,0.248,16,24.1349481
Manny Castillo,B,69,160,0.242,3,24.19659735
Mike Ramsey,B,73,170,0.24,2,22.96866204
Willie Crawford,L,73,197,0.268,86,26.61662601
Bobby Cuellar,R,71,188,0,0,26.85181512
Willie Norwood,R,72,185,0.242,18,25.69444444
Mike Jones,L,78,215,0,0,25.44378698
Jeff Stone,L,72,175,0.277,11,24.30555556
Ramon Manon,R,72,150,0,0,20.83333333
Joe Lahoud,L,73,198,0.223,65,26.75173579
Tim Flannery,L,71,175,0.255,9,24.99504067
Dave McKay,B,73,195,0.229,21,26.34640646
John Trautwein,R,75,205,0,0,26.24
Andy Replogle,R,77,205,0,0,24.89458593
Zach Crouch,L,75,180,0,0,23.04
Benny Ayala,R,73,185,0.251,38,24.99530869
Ron Romanick,R,76,195,0,0,24.30747922
Greg Gross,L,70,160,0.287,7,23.51020408
Bruce Tanner,L,75,220,0,0,28.16
Sal Butera,R,72,190,0.227,8,26.38888889
Jack Brohamer,L,70,165,0.245,30,24.24489796
Von Joshua,L,70,170,0.273,30,24.97959184
Eddie Milner,L,71,173,0.253,42,24.70938306
Johnny Jeter,R,73,180,0.244,18,24.3197598
Angel Salazar,R,72,180,0.212,2,25
Tony Oliva,L,73,175,0.304,220,23.64421092
Cito Gaston,R,75,190,0.256,91,24.32
Cookie Rojas,R,70,160,0.263,54,23.51020408
Rich Morales,R,71,170,0.195,6,24.28089665
Dave Ford,R,76,190,0,0,23.68421053
Dan Ford,R,73,185,0.27,121,24.99530869
Barry Raziano,B,70,175,0,0,25.71428571
Darryl Motley,R,69,196,0.243,44,29.64083176
Ozzie Virgil,R,73,180,0.243,98,24.3197598
Johnny Oates,L,71,188,0.25,14,26.85181512
Pat Underwood,L,72,175,0,0,24.30555556
Mike Phillips,L,72,170,0.24,11,23.61111111
Ron Santo,R,72,190,0.277,342,26.38888889
Jay Johnstone,L,73,175,0.267,102,23.64421092
Jim Ray Hart,R,71,185,0.278,170,26.4233287
Marc Hill,R,75,205,0.223,34,26.24
Joel McKeon,L,72,185,0,0,25.69444444
Danny Fife,R,75,175,0,0,22.4
Chico Salmon,R,70,160,0.249,31,23.51020408
Joe Niekro,R,73,185,0.156,1,24.99530869
Andy Etchebarren,R,73,190,0.235,49,25.67085757
Ken Berry,R,72,175,0.255,58,24.30555556
Dave Concepcion,R,74,155,0.267,101,20.3798393
Junior Moore,R,71,185,0.264,7,26.4233287
Mike Richardt,R,72,170,0.226,4,23.61111111
Chris Brown,R,72,185,0.269,38,25.69444444
Al Bumbry,L,68,170,0.281,54,26.47058824
Al Downing,R,71,175,0.127,2,24.99504067
Bob Didier,B,72,190,0.229,0,26.38888889
Jake Gibbs,L,72,180,0.233,25,25
Garry Hancock,L,72,175,0.247,12,24.30555556
Ed Kranepool,L,75,205,0.261,118,26.24
Rick Rhoden,R,75,195,0.238,9,24.96
Denny McLain,R,73,185,0.133,1,24.99530869
Chuck Hiller,L,71,170,0.243,20,24.28089665
Jorge Orta,L,70,170,0.278,130,24.97959184
Dave Cash,R,71,170,0.283,21,24.28089665
Bucky Dent,R,69,170,0.247,40,25.70888469
Andy Beene,R,75,205,0,0,26.24
Bruce Robbins,L,73,190,0,0,25.67085757
Tony Gonzalez,L,69,170,0.286,103,25.70888469
Leon Hooten,R,71,180,0,0,25.70918469
Larry Haney,R,74,195,0.215,12,25.63915267
Billy Conigliaro,R,72,180,0.256,40,25
Gary Roenicke,R,75,205,0.247,121,26.24
Don Lock,R,74,195,0.238,122,25.63915267
Billy Cowan,R,72,170,0.236,40,23.61111111
Billy Smith,B,74,185,0.23,17,24.32432432
Allan Ramirez,R,70,180,0,0,26.44897959
Tony Perez,R,74,175,0.279,379,23.00949598
Chuck Schilling,R,70,160,0.239,23,23.51020408
Hal McRae,R,71,180,0.29,191,25.70918469
Dave Roberts,R,75,215,0.239,49,27.52
Brian Allard,R,73,175,0,0,23.64421092
Jim Lefebvre,B,72,180,0.251,74,25
Fernando Arroyo,R,74,180,0,0,23.66691015
Gary Beare,R,76,205,0,0,25.55401662
Charlie Spikes,R,75,215,0.246,65,27.52
Brian Dubois,L,70,165,0,0,24.24489796
Steve Whitaker,L,72,180,0.23,24,25
Manny Jimenez,L,73,185,0.272,26,24.99530869
Chris Batton,R,76,195,0,0,24.30747922
Duffy Dyer,R,72,187,0.221,30,25.97222222
Ken Henderson,B,74,180,0.257,122,23.66691015
Vance Lovelace,L,77,205,0,0,24.89458593
Greg Thayer,R,71,182,0,0,25.99484229
Vern Fuller,R,73,170,0.232,14,22.96866204
Paul Hartzell,R,77,200,0,0,24.28740091
Wayne Gross,L,74,210,0.233,121,27.61139518
Mike Champion,R,72,185,0.229,2,25.69444444
Ralph Botting,L,72,195,0,0,27.08333333
Paul Casanova,R,76,180,0.225,50,22.43767313
Steve Rogers,R,74,175,0.138,0,23.00949598
Keith Creel,R,74,180,0,0,23.66691015
Terry Crowley,L,72,180,0.25,42,25
Horace Clarke,B,69,170,0.256,27,25.70888469
Lou Clinton,R,73,185,0.247,65,24.99530869
Larry Cox,R,70,178,0.221,12,26.15510204
Nate Colbert,R,74,190,0.243,173,24.9817385
Phil Roof,R,74,190,0.215,43,24.9817385
Chuck Hinton,R,73,180,0.264,113,24.3197598
Tim Cullen,R,73,185,0.22,9,24.99530869
Tim Harkness,L,74,182,0.235,14,23.92987582
Rick Bosetti,R,71,185,0.25,17,26.4233287
Ron Pruitt,R,72,185,0.269,12,25.69444444
George Foster,R,73,180,0.274,348,24.3197598
Jerry White,B,70,164,0.253,21,24.09795918
Angel Mangual,R,70,178,0.245,22,26.15510204
Ken Gerhart,R,72,190,0.221,24,26.38888889
Mike Hershberger,R,70,175,0.252,26,25.71428571
Jim French,L,68,180,0.196,5,28.02768166
Dave Roberts,L,75,195,0.194,7,24.96
Jim Mason,L,74,185,0.203,12,24.32432432
Mike Smith,R,75,180,0,0,23.04
Willie Smith,L,72,182,0.248,46,25.27777778
T.R. Bryden,R,76,190,0,0,23.68421053
Jose Arcia,R,75,170,0.215,1,21.76
Leon Durham,L,73,185,0.277,147,24.99530869
Tom Makowski,R,71,185,0,0,26.4233287
Paul Householder,B,72,180,0.236,29,25
Aurelio Rodriguez,R,70,180,0.237,124,26.44897959
Jimmy Stewart,B,72,165,0.237,8,22.91666667
Dick Phillips,L,72,180,0.229,12,25
Andres Thomas,R,73,170,0.234,42,22.96866204
Ed Crosby,L,74,175,0.22,0,23.00949598
Mike de la Hoz,R,71,175,0.251,25,24.99504067
Frank Taveras,R,72,155,0.255,2,21.52777778
Joe Nossek,R,72,178,0.228,3,24.72222222
Larry Stahl,L,72,175,0.232,36,24.30555556
Jose Cruz,L,72,170,0.284,165,23.61111111
Don Mason,L,71,160,0.205,3,22.85260861
Bill Robinson,R,74,189,0.258,166,24.85025566
Jim Umbarger,L,78,200,0,0,23.66863905
Sal Bando,R,72,195,0.254,242,27.08333333
George Mitterwald,R,74,195,0.236,76,25.63915267
Mike Darr,R,76,190,0,0,23.68421053
Craig Robinson,R,70,165,0.219,0,24.24489796
Bob Tillman,R,76,205,0.232,79,25.55401662
Curt Wardle,L,77,220,0,0,26.716141
Pat Corrales,R,72,180,0.216,4,25
Mike Tyson,R,69,170,0.241,27,25.70888469
Rafael Landestoy,B,70,165,0.237,4,24.24489796
Duane Josephson,R,72,190,0.258,23,26.38888889
Duane Walker,L,72,185,0.229,24,25.69444444
Glenn Hubbard,R,69,150,0.244,70,22.68431002
Roger Freed,R,72,190,0.245,22,26.38888889
George Hendrick,R,75,195,0.278,267,24.96
Rod Carew,L,72,170,0.328,92,23.61111111
Bob Davis,R,72,180,0.197,6,25
Toby Harrah,R,72,175,0.264,195,24.30555556
Rick Manning,L,73,180,0.257,56,24.3197598
Israel Sanchez,L,69,170,0,0,25.70888469
Steve Burke,B,74,200,0,0,26.29656684
Gary Matthews,R,74,185,0.281,234,24.32432432
Cesar Geronimo,L,72,165,0.258,51,22.91666667
Billy Bryan,L,76,200,0.216,41,24.93074792
Terry Taylor,R,73,180,0,0,24.3197598
Terry Whitfield,L,73,197,0.281,33,26.61662601
Mario Mendoza,R,71,170,0.215,4,24.28089665
Fred Lynn,L,73,185,0.283,306,24.99530869
Larry Hisle,R,74,193,0.273,166,25.376187
Graig Nettles,L,72,180,0.248,390,25
Randy Nosek,R,76,215,0,0,26.80055402
Dave Engle,R,75,210,0.262,31,26.88
Narciso Elvira,L,70,160,0,0,23.51020408
Mike Easler,L,72,190,0.293,118,26.38888889
Mark Smith,R,74,215,0,0,28.26880935
Paul Mitchell,R,73,195,0,0,26.34640646
Rick Sweet,B,73,200,0.234,6,27.02195534
Thurman Munson,R,71,190,0.292,113,27.13747272
Rick Monday,L,75,193,0.264,241,24.704
Mike Sadek,R,69,165,0.226,5,24.95274102
Mark Belanger,R,73,170,0.228,20,22.96866204
Ron Hunt,R,72,186,0.273,39,25.83333333
Joe Keough,L,72,185,0.246,9,25.69444444
Butch Edge,R,75,203,0,0,25.984
Vic Correll,R,70,185,0.229,29,27.18367347
Jackie Hernandez,R,71,165,0.208,12,23.56675263
Tony Solaita,L,72,210,0.255,50,29.16666667
U L Washington,B,71,175,0.251,27,24.99504067
Gary Mielke,R,75,185,0,0,23.68
Rick Henninger,R,78,225,0,0,26.62721893
Joe Foy,R,72,215,0.248,58,29.86111111
Ed Goodson,L,75,180,0.26,30,23.04
Mark Brown,B,74,190,0,0,24.9817385
Mickey Klutts,R,71,170,0.241,14,24.28089665
Leroy Stanton,R,73,195,0.244,77,26.34640646
Rafael Vasquez,R,72,160,0,0,22.22222222
Len Whitehouse,L,71,175,0,0,24.99504067
Danny Ainge,R,76,175,0.22,2,21.81440443
Adolfo Phillips,R,73,175,0.247,59,23.64421092
Marv Breeding,R,72,175,0.25,7,24.30555556
Steve Adkins,R,78,210,0,0,24.85207101
Dick McAuliffe,L,71,176,0.247,197,25.13786947
Joe Horlen,R,72,170,0.134,0,23.61111111
Glenn Burke,R,72,195,0.237,2,27.08333333
Tony Mack,R,70,177,0,0,26.00816327
Terry Humphrey,R,75,185,0.211,6,23.68
Bill Moran,R,76,210,0,0,26.17728532
Enzo Hernandez,R,68,155,0.224,2,24.1349481
Cesar Gutierrez,R,69,155,0.235,0,23.44045369
Coco Laboy,R,70,165,0.233,28,24.24489796
Ted Kubiak,B,72,175,0.231,13,24.30555556
Jim Morrison,R,71,175,0.26,112,24.99504067
Tom Gilles,R,73,185,0,0,24.99530869
Bobby Knoop,R,73,170,0.236,56,22.96866204
Bobby Brown,B,74,190,0.245,26,24.9817385
Tom Hutton,L,71,180,0.248,22,25.70918469
Ron Hodges,L,73,185,0.24,19,24.99530869
Rich Chiles,L,71,170,0.254,6,24.28089665
Tom Paciorek,R,76,215,0.282,86,26.80055402
Gary Woods,R,74,185,0.243,13,24.32432432
Bob Montgomery,R,73,195,0.258,23,26.34640646
Jeff Burroughs,R,73,200,0.261,240,27.02195534
Rusty Staub,L,74,190,0.279,292,24.9817385
Jim Norris,L,70,175,0.264,7,25.71428571
Oscar Gamble,L,71,160,0.265,200,22.85260861
Bob Kammeyer,R,76,210,0,0,26.17728532
George Vukovich,L,72,198,0.268,27,27.5
Joe Pactwa,L,71,185,0,0,26.4233287
Craig Reynolds,L,73,175,0.256,42,23.64421092
Paul Blair,R,72,168,0.25,134,23.33333333
Al Cowens,R,73,197,0.27,108,26.61662601
Al Oliver,L,72,195,0.303,219,27.08333333
Dave Hilton,R,71,191,0.213,6,27.28030153
Luis Alvarado,R,69,162,0.214,5,24.49905482
Larry Parrish,R,75,190,0.263,256,24.32
Woodie Fryman,R,75,197,0.138,2,25.216
Bob Randall,R,74,175,0.257,1,23.00949598
Jim Pankovits,R,70,170,0.25,9,24.97959184
Sherman Corbett,L,76,205,0,0,25.55401662
Carmen Fanzone,R,72,200,0.224,20,27.77777778
Gary Allenson,R,71,185,0.221,19,26.4233287
Milt May,L,72,190,0.263,77,26.38888889
Mike Vail,R,73,180,0.279,34,24.3197598
Nick Esasky,R,75,200,0.25,122,25.6
Jim Nettles,L,72,186,0.22,16,25.83333333
Lafayette Currence,B,71,175,0,0,24.99504067
Chris Cannizzaro,R,72,190,0.235,18,26.38888889
Larry Biittner,L,74,205,0.273,29,26.95398101
John Pawlowski,R,74,175,0,0,23.00949598
Mel Stottlemyre,R,73,178,0.16,7,24.04954025
Jack Hardy,R,74,175,0,0,23.00949598
Ron Musselman,R,74,185,0,0,24.32432432
Roy Smalley,B,73,185,0.257,163,24.99530869
Tony Chevez,R,71,177,0,0,25.28069827
Andy Messersmith,R,73,200,0.17,5,27.02195534
Richie Zisk,R,73,200,0.287,207,27.02195534
Dave Chalk,R,70,175,0.252,15,25.71428571
