name,handedness,height,weight,avg,HR,BMI
Luis Aguayo,R,69,173,0.236,37,26.16257089
Hal Lanier,R,74,180,0.228,8,23.66691015
Mike Pazik,L,74,195,0,0,25.63915267
Len Randle,B,70,169,0.257,27,24.83265306
Greg Pryor,R,72,180,0.25,14,25
Jim Traber,L,72,194,0.227,27,26.94444444
Dave Nelson,R,70,160,0.244,20,23.51020408
Lynn Jones,R,69,175,0.252,7,26.46502836
Bryan Little,B,70,160,0.245,3,23.51020408
Ken Suarez,R,69,175,0.227,5,26.46502836
Rick Peters,B,69,170,0.277,2,25.70888469
Ron Stone,L,74,185,0.241,6,24.32432432
Rich Barnes,R,76,186,0,0,23.18559557
Tommie Agee,R,71,195,0.255,130,27.85161674
Bob Bailey,R,73,180,0.257,189,24.3197598
Cap Peterson,R,74,195,0.23,19,25.63915267
Ted Uhlaender,L,74,190,0.263,36,24.9817385
Ted Simmons,B,71,193,0.285,248,27.56595914
Bobby Murcer,L,71,160,0.277,252,22.85260861
Dick Tracewski,R,71,160,0.213,8,22.85260861
Dave Frost,R,78,235,0,0,27.81065089
Mark Souza,L,72,180,0,0,25
Bill Nahorodny,R,74,200,0.241,25,26.29656684
Bill Madlock,R,71,180,0.305,163,25.70918469
Bob Boone,R,74,195,0.254,105,25.63915267
Rick Jones,L,77,190,0,0,23.07303087
Steve Kemp,L,72,195,0.278,130,27.08333333
Rick Burleson,R,70,165,0.273,50,24.24489796
Jim Dorsey,R,79,190,0,0,21.91956417
Mark Ciardi,R,72,180,0,0,25
Dennis Burtt,R,72,180,0,0,25
Carl Taylor,R,74,200,0.266,10,26.29656684
Terry Harmon,R,74,180,0.233,4,23.66691015
Mike Hargrove,L,72,195,0.29,80,27.08333333
Rich Yett,R,74,187,0,0,24.58728999
Steve Hovley,L,70,188,0.258,8,27.6244898
Don Leppert,R,74,220,0.229,15,28.92622352
Matt Williams,R,73,200,0,0,27.02195534
Jim Burton,R,75,195,0,0,24.96
Rick Anderson,R,74,210,0,0,27.61139518
Charlie Mitchell,R,75,170,0,0,21.76
Bill Paschall,R,72,175,0,0,24.30555556
John Bohnet,B,72,175,0,0,24.30555556
Byron McLaughlin,R,73,175,0,0,23.64421092
Lee May,R,75,195,0.267,354,24.96
Luis Quintana,L,74,175,0,0,23.00949598
Sam McDowell,L,77,190,0.154,2,23.07303087
Rick Renick,R,72,188,0.221,20,26.11111111
Jeff Torborg,R,72,195,0.214,8,27.08333333
Dave Campbell,R,73,180,0.213,20,24.3197598
Pat Kelly,L,73,185,0.264,76,24.99530869
Al Weis,B,72,160,0.219,7,22.22222222
Jerry Turner,L,69,180,0.257,45,27.22117202
Rick Auerbach,R,72,165,0.22,9,22.91666667
Keith Macwhorter,R,76,190,0,0,23.68421053
Don Wilson,R,74,195,0.146,1,25.63915267
Jaime Cocanower,R,76,200,0,0,24.93074792
Jeff Sellers,R,73,175,0,0,23.64421092
Sandy Valdespino,L,68,170,0.23,7,26.47058824
Steve Senteney,R,74,205,0,0,26.95398101
Howard Bailey,R,72,195,0,0,27.08333333
Jeff Bettendorf,R,75,180,0,0,23.04
Ken Phelps,L,73,209,0.239,123,28.23794333
Cesar Cedeno,R,74,175,0.285,199,23.00949598
Bob Davidson,R,72,185,0,0,25.69444444
Phil Linz,R,73,180,0.235,11,24.3197598
Manny Mota,R,70,160,0.304,31,23.51020408
Brian Snyder,L,75,185,0,0,23.68
Steve Renko,R,77,230,0.215,6,27.93051105
Rick Sofield,L,73,195,0.243,9,26.34640646
Carlos Velazquez,R,71,180,0,0,25.70918469
Roger Miller,R,75,200,0,0,25.6
Doug DeCinces,R,74,190,0.259,237,24.9817385
John Castino,R,71,175,0.278,41,24.99504067
Dave May,L,70,186,0.251,96,27.33061224
Ron Washington,R,71,155,0.261,20,22.13846459
Billy Grabarkewitz,R,70,165,0.236,28,24.24489796
Willie Aikens,L,75,220,0.271,110,28.16
Earl Williams,R,75,215,0.247,138,27.52
Willie Mueller,R,76,220,0,0,27.42382271
John Flinn,R,72,175,0,0,24.30555556
Don Hahn,R,73,180,0.236,7,24.3197598
Todd Cruz,R,72,175,0.22,34,24.30555556
Tom Egan,R,76,218,0.2,22,27.17451524
Bob Heise,R,72,175,0.247,1,24.30555556
Tommy Harper,R,69,165,0.257,146,24.95274102
Joe Wallis,B,71,180,0.244,16,25.70918469
Max Alvis,R,71,185,0.247,111,26.4233287
Rico Carty,R,75,200,0.299,204,25.6
Mike Cubbage,L,72,180,0.258,34,25
Les Straker,R,73,193,0,0,26.0761869
Merritt Ranew,L,71,170,0.247,8,24.28089665
Lyman Bostock,L,73,180,0.311,23,24.3197598
Damaso Garcia,R,73,165,0.283,36,22.29311315
Don Kainer,R,75,205,0,0,26.24
Don Gordon,R,73,175,0,0,23.64421092
Roy Howell,L,73,190,0.261,80,25.67085757
Boog Powell,L,76,230,0.266,339,28.67036011
Sandy Wihtol,R,73,195,0,0,26.34640646
Sonny Siebert,R,75,190,0.173,12,24.32
Jeff Richardson,R,75,185,0,0,23.68
Bobby Darwin,R,74,190,0.251,83,24.9817385
Dennis DeBarr,L,74,190,0,0,24.9817385
Dan Driessen,L,71,187,0.267,153,26.70898631
Bruce Miller,R,73,185,0.246,1,24.99530869
Bob Bailor,R,71,170,0.264,9,24.28089665
Tommy Helms,R,70,165,0.269,34,24.24489796
Tony Armas,R,71,182,0.252,251,25.99484229
Willie Horton,R,71,209,0.273,325,29.85122
Lou Piniella,R,72,182,0.291,102,25.27777778
Butch Hobson,R,73,193,0.248,98,26.0761869
John Wathan,R,74,205,0.262,21,26.95398101
Hal King,L,73,200,0.214,24,27.02195534
Mike Krukow,R,77,205,0.193,5,24.89458593
Andres Mora,R,72,180,0.223,27,25
Barry Foote,R,75,205,0.23,57,26.24
Ed Ott,L,70,190,0.259,33,27.91836735
Alan Wiggins,B,74,160,0.259,5,21.03725347
Ron Clark,R,70,175,0.189,5,25.71428571
Jay Pettibone,R,76,182,0,0,22.68698061
Glen Cook,R,71,180,0,0,25.70918469
Julio Gotay,R,72,180,0.26,6,25
Gary Alexander,R,74,195,0.23,55,25.63915267
Andre Thornton,R,75,200,0.254,253,25.6
Bob Oliver,R,75,205,0.256,94,26.24
Bill Castro,R,71,170,0,0,24.28089665
Ed Hodge,L,74,192,0,0,25.24470416
Tom Buskey,R,75,200,0,0,25.6
Bruce Taylor,R,72,178,0,0,24.72222222
Stan Thomas,R,74,185,0,0,24.32432432
Bob Robertson,R,73,195,0.242,115,26.34640646
Larry Monroe,R,76,200,0,0,24.93074792
Roger Slagle,R,75,190,0,0,24.32
Ollie Brown,R,74,178,0.265,102,23.40394449
Jim Campbell,L,71,175,0,0,24.99504067
Frank Quilici,R,73,170,0.214,5,22.96866204
Curt Kaufman,R,74,175,0,0,23.00949598
Joe Pepitone,L,74,185,0.258,219,24.32432432
Steve Barber,L,72,195,0.115,5,27.08333333
De Wayne Vaughn,R,71,180,0,0,25.70918469
Norm Miller,L,70,185,0.238,24,27.18367347
Bob Galasso,L,73,205,0,0,27.69750422
Rich Wortham,R,72,185,0,0,25.69444444
Bob Chance,L,74,196,0.261,24,25.7706355
Julio Cruz,B,69,165,0.237,23,24.95274102
Bill Sample,R,69,175,0.272,46,26.46502836
Juan Nieves,L,75,175,0,0,22.4
Mike Bacsik,R,74,180,0,0,23.66691015
Craig Kusick,R,75,210,0.235,46,26.88
Rudy Meoli,L,69,165,0.212,2,24.95274102
Ruppert Jones,L,70,170,0.25,147,24.97959184
Glenn Hoffman,R,73,175,0.242,23,23.64421092
Russ Gibson,R,73,195,0.228,8,26.34640646
Phil Huffman,R,74,180,0,0,23.66691015
Terry Francona,L,73,190,0.274,16,25.67085757
John Bateman,R,75,210,0.23,81,26.88
Luis Pujols,R,74,175,0.193,6,23.00949598
Joe Gaines,R,73,190,0.241,21,25.67085757
Doug Rader,R,74,208,0.251,155,27.34842951
Mickey Stanley,R,73,185,0.248,117,24.99530869
Steve Brown,R,77,200,0,0,24.28740091
Rick Lysander,R,74,190,0,0,24.9817385
Phil Bradley,R,72,185,0.286,78,25.69444444
Winston Llenas,R,70,165,0.23,3,24.24489796
Charlie Moore,R,71,180,0.261,36,25.70918469
Ralph Garr,L,71,185,0.306,75,26.4233287
Tommy John,R,75,180,0.157,5,23.04
Bruce Benedict,R,73,175,0.242,18,23.64421092
John Ellis,R,74,225,0.262,69,29.58363769
Wes Parker,B,73,180,0.267,64,24.3197598
Mel Stottlemyre,R,72,190,0,0,26.38888889
David Green,R,75,170,0.268,31,21.76
Reid Nichols,R,71,165,0.266,22,23.56675263
Rick Reichardt,R,75,210,0.261,116,26.88
Luis Tiant,R,72,180,0.164,5,25
Alex Sanchez,R,74,185,0,0,24.32432432
Broderick Perkins,L,70,180,0.271,8,26.44897959
Leon Roberts,R,75,200,0.267,78,25.6
Ray Burris,R,77,200,0.151,1,24.28740091
Len Gabrielson,L,76,210,0.253,37,26.17728532
Johnny Edwards,L,76,220,0.242,81,27.42382271
Paul Wilmet,R,71,170,0,0,24.28089665
Tom Grieve,R,74,190,0.249,65,24.9817385
Bruce Ellingsen,L,72,180,0,0,25
Bob Forsch,R,76,200,0.213,12,24.93074792
Gorman Heimueller,L,76,195,0,0,24.30747922
Danny Cater,R,72,170,0.276,66,23.61111111
Bill Schroeder,R,74,200,0.24,61,26.29656684
Clay Dalrymple,L,72,190,0.233,55,26.38888889
Carlos May,L,71,200,0.274,90,28.56576076
Reggie Smith,B,72,180,0.287,314,25
Ron Reed,R,78,215,0.158,0,25.44378698
Fred Howard,R,75,190,0,0,24.32
Davey Johnson,R,73,170,0.261,136,22.96866204
Ellis Valentine,R,76,205,0.278,123,25.55401662
Roy White,B,70,160,0.271,160,23.51020408
Mike Brumley,L,70,195,0.229,5,28.65306122
Al Luplow,L,70,175,0.235,33,25.71428571
John Hoover,R,74,190,0,0,24.9817385
Dick Allen,R,71,187,0.292,351,26.70898631
Doug Ault,R,75,200,0.236,17,25.6
Mark Wagner,R,72,165,0.243,3,22.91666667
Mike Walters,R,77,203,0,0,24.65171192
Willie Stargell,L,74,188,0.282,475,24.71877283
Steve Carlton,L,76,210,0.201,13,26.17728532
Jake Wood,R,73,163,0.25,35,22.0228936
Del Unser,L,73,180,0.258,87,24.3197598
Bob Brower,R,71,185,0.242,17,26.4233287
Ray Culp,R,72,200,0.123,1,27.77777778
Ivan Murrell,R,74,195,0.236,33,25.63915267
Lee Mazzilli,B,73,180,0.259,93,24.3197598
Garth Iorg,R,71,170,0.258,20,24.28089665
Alan Ashby,B,74,185,0.245,90,24.32432432
Bob Brenly,R,74,210,0.247,91,27.61139518
Ron Blomberg,L,73,195,0.293,52,26.34640646
Jim Rooker,R,72,195,0.201,7,27.08333333
Tim Blackwell,B,71,170,0.228,6,24.28089665
Colby Ward,R,74,185,0,0,24.32432432
Jerry Morales,R,70,155,0.259,95,22.7755102
Davey Lopes,R,69,170,0.263,155,25.70888469
Catfish Hunter,R,72,190,0.226,6,26.38888889
Mario Soto,R,72,174,0.132,1,24.16666667
Jimmy Wynn,R,70,160,0.25,291,23.51020408
Hank Allen,R,72,190,0.241,6,26.38888889
Jim Fregosi,R,73,190,0.265,151,25.67085757
Pepe Frias,R,70,159,0.24,1,23.36326531
Mike Schmidt,R,74,195,0.267,548,25.63915267
Willie Montanez,L,72,170,0.275,139,23.61111111
Rey Quinones,R,71,160,0.243,29,22.85260861
Mike Squires,L,71,185,0.26,6,26.4233287
Champ Summers,L,74,205,0.255,54,26.95398101
Chuck Porter,R,75,187,0,0,23.936
Bert Campaneris,R,70,160,0.259,79,23.51020408
Bobby Valentine,R,70,189,0.26,12,27.77142857
Rob Andrews,R,72,185,0.251,3,25.69444444
Tom Haller,L,76,195,0.257,134,24.30747922
Tom Dozier,R,74,190,0,0,24.9817385
Ed Stroud,L,71,180,0.237,14,25.70918469
Ron Swoboda,R,74,195,0.242,73,25.63915267
Harry Spilman,L,73,180,0.237,18,24.3197598
Bob Barton,R,72,175,0.226,9,24.30555556
Daryl Sconiers,L,74,185,0.265,15,24.32432432
Joe Torre,R,74,212,0.297,252,27.87436085
Al Ferrara,R,73,200,0.259,51,27.02195534
Rick Steirer,R,76,200,0,0,24.93074792
Sixto Lezcano,R,70,165,0.271,148,24.24489796
Al Lachowicz,R,75,198,0,0,25.344
Dave Nicholson,R,74,215,0.212,61,28.26880935
Freddie Patek,R,65,148,0.242,41,25.22130178
Ken Hubbs,R,74,175,0.247,14,23.00949598
Pepe Mangual,R,70,157,0.242,16,23.06938776
Leron Lee,L,72,196,0.25,31,27.22222222
Tom McCarthy,R,72,180,0,0,25
Steve Ontiveros,B,72,185,0.274,24,25.69444444
Willie Davis,L,74,180,0.279,182,23.66691015
Tom Lawless,R,71,170,0.207,2,24.28089665
Jerry Moses,R,75,210,0.251,25,26.88
Bobby Bonds,R,73,190,0.268,332,25.67085757
Dave McNally,R,71,185,0.133,9,26.4233287
Darrell Brown,B,72,184,0.274,1,25.55555556
Roy Foster,R,72,185,0.253,45,25.69444444
Denis Menke,R,72,185,0.25,101,25.69444444
Hal Breeden,R,74,200,0.243,21,26.29656684
Manny Trillo,R,73,150,0.263,61,20.2664665
Jackie Gutierrez,R,71,175,0.237,4,24.99504067
Jerry Kenney,L,73,170,0.237,7,22.96866204
Fred Kendall,R,73,185,0.234,31,24.99530869
Mike Anderson,R,74,200,0.246,28,26.29656684
Jim Lewis,R,75,190,0,0,24.32
Joe Charboneau,R,74,205,0.266,29,26.95398101
Jimmie Schaffer,R,69,170,0.223,11,25.70888469
Junior Kennedy,R,71,175,0.248,4,24.99504067
Wilbur Howard,B,74,170,0.25,6,22.35208181
Rod Gilbreath,R,74,180,0.248,14,23.66691015
Mark Brouhard,R,73,210,0.259,25,28.37305311
Dan Morogiello,L,73,200,0,0,27.02195534
Mike Young,B,74,195,0.247,72,25.63915267
Chris Speier,R,73,175,0.246,112,23.64421092
Gene Michael,B,74,183,0.229,15,24.06135866
Vic Harris,B,71,165,0.217,13,23.56675263
Mike Fischlin,R,73,165,0.22,3,22.29311315
Don Money,R,73,170,0.261,176,22.96866204
Joe Rudi,R,74,200,0.264,179,26.29656684
Jim Rice,R,74,200,0.298,382,26.29656684
Shawn Holman,R,74,185,0,0,24.32432432
Alan Wirth,R,76,190,0,0,23.68421053
Gil Garrido,R,69,150,0.237,1,22.68431002
Marty Perez,R,71,160,0.246,22,22.85260861
Tom Matchick,L,73,173,0.215,4,23.37399137
Jack Perconte,L,70,160,0.27,2,23.51020408
Ed Kirkpatrick,L,71,195,0.238,85,27.85161674
Jerry Grote,R,70,185,0.252,39,27.18367347
Ellie Hendricks,L,73,175,0.22,62,23.64421092
Jim Beauchamp,R,74,190,0.231,14,24.9817385
Terry Wilshusen,R,74,210,0,0,27.61139518
Tito Fuentes,B,71,175,0.268,45,24.99504067
Ron Brand,R,67,167,0.239,3,26.78547561
Leo Cardenas,R,71,150,0.257,118,21.42432057
Art Shamsky,L,73,168,0.253,68,22.69844248
Steve Ellsworth,R,80,220,0,0,24.75
Ron Cey,R,70,185,0.261,316,27.18367347
Skip Jutze,R,71,190,0.215,3,27.13747272
Butch Wynegar,B,73,190,0.255,65,25.67085757
Ron LeFlore,R,72,200,0.288,59,27.77777778
Bill Russell,R,72,175,0.263,46,24.30555556
Gene Tenace,R,72,190,0.241,201,26.38888889
Bubba Morton,R,70,175,0.267,14,25.71428571
Ellie Rodriguez,R,71,185,0.245,16,26.4233287
Darrel Chaney,B,74,188,0.217,14,24.71877283
Dick Nen,L,74,200,0.224,21,26.29656684
Bryan Kelly,R,74,195,0,0,25.63915267
Bill Freehan,R,75,203,0.262,200,25.984
Steve Nicosia,R,70,185,0.248,11,27.18367347
Ted Savage,R,73,185,0.233,34,24.99530869
Pete Mackanin,R,74,190,0.226,30,24.9817385
Rich Dauer,R,72,180,0.257,43,25
Mick Kelleher,R,69,176,0.213,0,26.61625709
Rowland Office,L,72,170,0.259,32,23.61111111
Rick Leach,L,73,180,0.268,18,24.3197598
Dwayne Murphy,L,73,185,0.246,166,24.99530869
Larry Harlow,L,74,185,0.248,12,24.32432432
Mike Epstein,L,75,230,0.244,130,29.44
Jerry Mumphrey,B,74,185,0.289,70,24.32432432
Don Sutton,R,73,185,0.144,0,24.99530869
Glenn Beckert,R,73,190,0.283,22,25.67085757
Ron Davis,R,72,175,0.233,10,24.30555556
Mike Shannon,R,75,195,0.255,68,24.96
Jason Thompson,L,76,200,0.261,208,24.93074792
Wayne Tolleson,B,69,160,0.241,9,24.19659735
John Leister,R,74,200,0,0,26.29656684
Don Cooper,R,73,185,0,0,24.99530869
Mike Jorgensen,L,72,195,0.243,95,27.08333333
Ed Romero,R,71,160,0.247,8,22.85260861
Rick Joseph,R,73,192,0.243,13,25.94107713
Cecil Cooper,L,74,165,0.298,241,21.69466764
Bill Almon,R,75,180,0.254,36,23.04
Joe Ferguson,R,74,200,0.24,122,26.29656684
Jeff Jones,R,75,210,0,0,26.88
Jerry Terrell,R,71,165,0.253,4,23.56675263
John Poloni,L,77,210,0,0,25.50177096
Dave Revering,L,76,210,0.265,62,26.17728532
Curt Ford,L,70,150,0.245,7,22.04081633
Jerry Dybzinski,R,74,180,0.234,3,23.66691015
Mike Willis,L,74,205,0,0,26.95398101
Bob Burda,L,71,174,0.224,13,24.85221186
Jesse Gonder,L,70,180,0.251,26,26.44897959
Gary Sutherland,R,72,185,0.243,24,25.69444444
Bob Coluccio,R,71,183,0.22,26,26.1376711
Dave Rader,L,71,165,0.257,30,23.56675263
Ron Gardenhire,R,72,175,0.232,4,24.30555556
Bill Sharp,L,70,178,0.255,9,26.15510204
Alan Bannister,R,71,170,0.27,19,24.28089665
Bob Watson,R,72,201,0.295,184,27.91666667
Ken Harrelson,R,74,190,0.239,131,24.9817385
Bobby Wine,R,73,187,0.215,30,25.26552824
Stefan Wever,R,80,245,0,0,27.5625
John Kennedy,R,72,185,0.225,32,25.69444444
Chico Ruiz,B,72,169,0.24,2,23.47222222
Dave Johnson,R,73,183,0,0,24.72508913
Gail Hopkins,L,70,198,0.266,25,29.09387755
Doug Frobel,L,76,196,0.201,20,24.43213296
Luis Melendez,R,72,165,0.248,9,22.91666667
Jerry Augustine,L,72,183,0,0,25.41666667
Bill Plummer,R,73,190,0.188,14,25.67085757
Buck Rodgers,B,74,190,0.232,31,24.9817385
Phil Niekro,R,73,180,0.169,7,24.3197598
Jeff Holly,L,77,210,0,0,25.50177096
Tom Poquette,L,70,175,0.268,10,25.71428571
Eric Hetzel,R,75,175,0,0,22.4
Brian Asselstine,L,73,175,0.254,12,23.64421092
Rick Miller,L,72,175,0.269,28,24.30555556
Ed Charles,R,70,170,0.263,86,24.97959184
Luis Gomez,R,69,150,0.21,0,22.68431002
Dave Lemanczyk,R,76,235,0,0,29.29362881
Al Jones,R,76,210,0,0,26.17728532
Floyd Rayford,R,70,190,0.244,38,27.91836735
Sam Hinds,R,78,215,0,0,25.44378698
Tony Conigliaro,R,75,185,0.264,166,23.68
Clay Christiansen,R,77,205,0,0,24.89458593
Jim Barr,R,75,205,0.162,1,26.24
Jerry Remy,L,69,165,0.275,7,24.95274102
Larry Rothschild,L,74,180,0,0,23.66691015
Frank Duffy,R,73,180,0.232,26,24.3197598
Gary Lance,B,75,195,0,0,24.96
Tom O'Malley,L,72,180,0.256,13,25
Phil Garner,R,70,175,0.26,109,25.71428571
Larry Pashnick,R,75,205,0,0,26.24
Todd Fischer,R,70,170,0,0,24.97959184
